Title,Lyrics
888s & Losses,"1 Contributor888s & Losses Lyrics[Part I: 888s]  [Chorus] Bitches really got me chasing losses Wanna be my baby, triple 8s and misses Our love goes around from different angles You think you’re an angel Watch the tone, you might just be my lady My type is so crazy, fuck her 6 times she a devil maybe Bitches really got me chasing losses Wanna be my baby, triple 8s and misses Our love goes around from different angles You think you’re an angel Watch the tone, you might just be my lady My type is so crazy, fuck her 6 timеs she a devil maybe  [Verse 1] Thе remedy getting me jaded No love is a way to make it See you walking round so we kicked it Couple a hunnid times, you wanna be my million Angel I don’t see you in that light So don’t ever tell me you love me Cause I don’t want that side You want it from the east coast Bitch we outta here from London nights You know we drinking even tho I don’t drink like that, couple of zootinos Eddies we bout to lose our minds You might also like[Bridge] In a drifter we going all week Fuck your drugs I can’t keep myself weak Not your love girl you a freak Camcorders got the best nights  [Chorus] Bitches really got me chasing losses Wanna be my baby, triple 8s and misses Our love goes around from different angles You think you’re an angel Watch the tone, you might just be my lady My type is so crazy, fuck her 6 times she a devil maybe Bitches really got me chasing losses Wanna be my baby, triple 8s and misses Our love goes around from different angles You think you’re an angel Watch the tone, you might just be my lady My type is so crazy, fuck her 6 times she a-  [Part II: Losses]  [Intro] Slow down (ay) Feel from the benz tonight She wanna love up in a benz for what Jaded the moon got me fucked up i-i-i-inside, yeah [Verse] Bitches really got me chasing losses Wanna be my baby, triple 8s and misses Our love goes around from different angles You think you’re an angel Watch the tone, you might just be my lady My type is so crazy, fuck her 6 times she a devil maybe Bitches really got me chasing losses Wanna be my-bitches-angel watch the tone You might just be my lady My type is so crazy, fuck her 6 times she a devil maybe My type is so crazy, fuck her 6 times she a devil maybeEmbed"
999,"2 Contributors999 Lyrics[Intro] (ah, ah, ah, ah, ahh) I call that a stab in the heart Oh you wanna get personal, I wouldn’t say Day by day my mistakes ain’t no seal of faith Abused at young but ain’t abusing no constraint Excuses bitch excuse me imma die in the rain, ay  [Verse 1] Fuck it up, I take back and I lift it up Your power once strong till I fucked you up My bro is on violence he kicking it tough Depression I see in his room when he’s up I’m venting my stories and it's keeping easy Lacey my baby imma keep it all neatly 350 GT outside its all 60s Cars in my mind I hope once a reality Goals in my life to me it's all so tricky (trick, trick, trick, trick) Trick me once imma fool you so bad Spice and a Ice she a baddie forealsiеs Satan he waiting it's gonna kill me Demons in my lifе they all thrill me Girls and the vibe I just want one Before I recorded this found me a love-love-ay You might also like[Chorus] Ay-oh, 9-9-9 you there?, she’s bleeding help me, this unfair See me cross the dark, hate to leave the stars Cut me up, I love hurting once you’re far Ay-oh, 9-9-9 you there?, she’s bleeding help me, this unfair See me cross the dark, hate to leave the stars Cut me up, I love hurting once you’re far  [Verse 2] Venting alone, keep me close you my home Baby girl you a star, mum you took me far Thank you women in my life, I hate you to leave you scarred Mental up in my yard, take me to the stars Broken lost my heart, broken lost my chance Aching from the past, leaving me so lost Hate it when you ask, how am I-I?, you laugh Fuck you and your life, don’t touch me, you a lot  [Chorus] Ay-oh, 9-9-9 you there?, she’s bleeding help me, this unfair See me cross the dark, hate to leave the stars Cut me up, I love hurting once you’re far Ay-oh, 9-9-9 you there?, she’s bleeding help me, this unfair See me cross the dark, hate to leave the stars Cut me up, I love hurting once you’re far [Outro] Kiss me over my arms, dying at the park Kiss me over my arms, dying at the parkEmbed"
Before We Fade Out,"1 ContributorBefore We Fade Out Lyrics[Verse 1] Pop a pill and call it a day I'm still faded off off a whole mistake Every girl moving so bad minded If you wanna watch me burn in pain Then please just allow that day Fuck her and friend she calls me babe I gave her the world not a mistake She my partner in pain, keep me entertained In every single way, call me lustful haze and I'll give you The taste, not a daze ain't a phase Still seeing double, double my troubles She still missing cuddles at 8  [Chorus] Do you even exist if you’re calling me babe? Hold me closer if you want the world But I still feel like it's not working out but I cannot face Seeing you in my dreams and I Wanted it a thousand times Before we fade out let's just finish these lines Do you even exist if you’re calling me baby? Hold me closer if you want the world But I still don’t feel like it's working out believe me I cannot face Seeing you in my dreams and I Wanted it a thousand times Before we fade out let's just finish these lines You might also like[Verse 2] Hoe won’t repeat, blazed right off a score and I’m coming off that weekend King of the fall, falling down the deep end Kissing tonguing all your stress out See you smoking off your ex doubt Self belief ain't in me to ever reach out I ain’t gonna see now, ain’t gonna see it Ain’t gonna be how, I wanted to be Can I make it out the fallout like don’t need the 76 The worlds a wasteland already I see, I think unclean Don’t learn to fly like me Thoughts in my head, don't turn me over I'm flying Attempted shit leaves me dying, can't ever come out this way You ain't been relying on the remedies that left her that way Mind left in decay, futures fucked and disarrayed  [Chorus] Do you even exist if you’re calling me babe? Hold me closer if you want the world But I still feel like it's not working out but I cannot face Seeing you in my dreams and I Wanted it a thousand times Before we fade out let's just finish these lines Do you even exist if you’re calling me baby? Hold me closer if you want the world But I still don’t feel like it's working out believe me I cannot face Seeing you in my dreams and I Wanted it a thousand times Before we fade out let's just finish these lines [Outro] Do you even exist if you're calling me baby?Embed"
Blood On His Hands,"1 ContributorBlood On His Hands Lyrics[Intro] She remembers the night like she feelin' right Wrong feelings every day gonna solve the fights Mind controlled my demons hold to fright Scared for her life, she on both sides of the knife, oh Start of the year she found herself in a problem Asking for me to bring weed that I spent Friend for a friend I loved her but she had torment Fundamental life she was stuck in care Life she carried on wasn’t something she bared We went to Riverside boys acting the defence Purposely went for her when she didn't consent They took her soul got me fucked up from intent  [Verse 1] Looking at the blood on my hands They drugged us both up keeping us in bed They fucked her so violent had Her screaming from the end They never noticed my cries when I saw her Try defend, the blood on his hands When he pushed her in bends Who the fuck asked you to be so resentful When you saw that she was beautiful I wish death on you like RIP fucking ungrateful Hateful, niggas wanna ruin our name Like you stay tall, using your resentment To an advantage I hate you (oh-oh) Could never say I hate you so many times They fall, I saw stars crossing my eyes, unfaithful (oh-oh) Thinking back to a time when a bitch called me A name full, pessimistic rapist go fuck you I dropped two, accusations fly around the room Like you stuck in faith's court, killing myself slowly How dare you say so You might also like[Chorus] How could you dance? Around a girl you a trance Keep myself colder on Xans Pills keep us closer enhanced How could you dance? Around a girl you a trance Keep myself colder on Xans Pills keep us closer enhanced  [Verse 2] How could, how could you dance? Around a girl you a trance Keep myself colder on Xans, ay, oh, ugh Pills keep us closer enhanced, enhanced, enhanced, ay Riverside nigga you a trance to us, figure (figure) No money on the stand you ain’t getting bigger (bigger) Big steppers you think your life is only a thriller Keep her feeling the thriller fuck you and your life I cry, she cries in my arms you ain't no drilla A million reasons why she killed herself for you Nigga, I'd die for her existence keep me colder Than you listen I'd die for her existence Keep me colder than you fiction, ay  [Bridge] She told me to keep a smile on face How could I with the demons that I crave? Dark lonely life is it a seal of faith? Wanna commit suicide the apple's on my case [Chorus] How could you dance? Around a girl you a trance Keep myself colder on Xans Pills keep us closer enhanced How could you dance? Around a girl you a trance Keep myself colder on Xans Pills keep us closer enhanced  [Post-Chorus] Faith keeps me closer like angel dust Girl you really fucking scared of the lust My demons they prey for us Our demons they prey for us  [Outro] You, you, you, always you Always you, no us Always you, no trust Demons they prey on usEmbed"
Caretaker,"1 ContributorCaretaker Lyrics[Intro: CofiCarrera & DoeUnidentifed] I'll take care of you, I will (She won't, she won't, she won't) Even If I got a man now I heard you a friend now (She won't, she won't, she won't) It's a little bit too late to take care of me And I be writing these notes, cold hands not a take home (You could still) She be staring in both my eyes (even If I got a man now) As I rap till this goes love goes (I heard) She warned me that she'll go, but I'm out here tryna move slow (Now I heard) spitting game’s not factual when you know that-  [Chorus] I ain’t no carеtaker (oh) I heard you a friend now (oh-oh) Your undеrstanding needs a translator She be throwing it on both sides later, I ain’t no caretaker (oh) I heard you my ex now (oh-oh) This love ain’t for me you a love migrator All girls are the same I cannot complain, you don’t relate to my own pain You just causing me a migraine, stuck in my feelings you ain’t the same As I saw you first time as I daze, taking these pills like they my babe Not afraid of dying in this place, space I be lonesome walking away My death’s my true love  [Verse 1] I would be lying if I said I loved you more than her Guess I’m stuck in a blur Knew that you were slowly fading Love’s not forever I heard The drugs and my life’s just a curse Not afraid of letting go Not afraid of fucking these hoes Spaced out no tesla just a note Drinking habits on your own Get sour when you on your phone Getting home’s not too easy When you got nowhere to go Home for me, laugh as she’s taking my soul Forever Pluto I know, suicide she wrote- You might also like[Chorus] I ain’t no caretaker (oh) I heard you a friend now (oh-oh) Your understanding needs a translator She be throwing it on both sides later, I ain’t no caretaker (oh) I heard you my ex now (oh-oh) This love ain’t for me you a love migrator All girls are the same I cannot complain, you don’t relate to my own pain You just causing me a migraine, stuck in my feelings you ain’t the same As I saw you first time as I daze, taking these pills like they my babe Not afraid of dying in this place, space I be lonesome walking away My death’s my true love  [Verse 2] And I be these notes, cold hands not a take home She be staring in both my eyes As I rap till this love goes She warned me that she’ll go But I'm out here tryna move slow Spitting game’s not factual When you know she ain’t the one you know   [Outro: CofiCarrera & DoeUnidentifed] (Care of me) When you know she's not the one When you know she ain't the one (You could still) When you know she ain't the one When you know she's not the one (Even if I got a man now) When you know she's not the one (now I heard) When you know she ain't the one (now I heard) (ooh, 17)Embed"
CASH OVER SENSE,"1 ContributorCASH OVER SENSE Lyrics[Intro] (Once a slag always so bait, uh-uh, true say, uh) How you gonna get me crying over bitches How you gonna get me crying over hoes Left right then you pose Pictures with them up in my phone Never rapping about violence Just violence against my mind (always so bait)  [Pre-Chorus] It was messy from the start gotta keep it neat Too many girls on the phone Now my g Lz's telling me don’t trust these hoes (don't trust no bitches) Toxic reality all on these worthy lows gotta keep it on a low Blacked out lost my vision too slow Gotta watch out for the coast, ay, oh (retro)  [Chorus] When I woke up on that last night Faded off drugs in a fuckеd night 3am drinking cheap shite, gotta kick back for a 3.5 (man said that) Too many calls nevеr answer, cause I'm just low on the inside Chrome hearts money over insight, chrome hearts cash over sense When I woke up on that last night Faded off drugs in a fucked night 3am drinking cheap shite, gotta kick back for a 3.5 Too many calls never answer, cause I'm just low on the inside Chrome hearts money over insight, chrome hearts cash over sense You might also like[Verse 2] Gotta move up from these bends Cause I'm so fucked in my head (for real, for real) Never follow rules true say Always with my demons and they don’t play (it is what it is) 325 for the pain, ecstasy for the rain Exes on my brain, they sucked my souls in both ways Drill song next on the lane, tears drop from her face For what reason she misplaced Her words to another guy is she okay? She ain’t Annie, she just late, once a slag always so bait She ain’t Annie, she just late, once a slag always so bait  [Interlude] (Uh-oh, true say, uh-oh, always so bait, oh, she so bait, hmm)  [Pre-Chorus] It was messy from the start gotta keep it neat Too many girls on the phone Now my g Lz's is telling me don’t trust these hoes (don't trust no bitches) Toxic reality all on these unworthy lows gotta keep it on a low Blacked out lost my vision too slow Gotta watch out for the coast, ay (retro)  [Chorus] When I woke up on that last night Faded off drugs in a fucked night 3am drinking cheap shite, gotta kick back for a 3.5 (man said that) Too many calls never answer, cause I'm just low on the inside Chrome hearts money over insight, chrome hearts cash over sense When I woke up on that last night Faded off drugs in a fucked night 3am drinking cheap shite, gotta kick back for a 3.5 Too many calls never answer, cause I'm just low on the inside Chrome hearts money over insight, chrome hearts cash over sense [Outro] Bitch you gave me trauma, I gave you good feelings No lie on this karma, you just loved me feeling Took too much for hours, left me out just greening Fuck you and your life up, like you did with me hoeEmbed"
​chances,"1 Contributor​chances Lyrics[Pre-Verse] Working overtime for you baby girl, this ain't just another interlude Our love couldn't ever confuse Cause it's all private let us do, lets just do this one thing cause Your secrets nude, nigga you ain't an overdo I'm just coming through  [Verse 1] Views and drink it's all we need My heart for you it's seem that you avoid over so recently It's all for aesthetic, make me feel so bulimic I've seen it, your legs so thick Your ass make me so unfaithful, fucking ungrateful We took it back and fucked it up, the way you cut was so corrupt My eyes on you was way too much and my delusion fucked us up But heaven's gate won't stand for no luck, unlucky how we did us Thought we would last another year, still love you way too much  [Chorus] Another chance won't ever fix us Won't take us back cause I never cleaned up Drinking myself to death in front of you, always meant so much Never gave you luck but I, couldn't get you out my mind Addictions and pleasure I couldn't hide I take it all back all those fake lies I gave you to push you away from mine You might also like[Bridge] Took it all from you gave you love only aesthetic Bitches only want me, desire no regretting Niggas never check it, my health only lessons Stuck in one box I let it go My sorrows can't keep blessings, no blessings  [Verse 2] Now we're stuck in here, smoking our lungs out and the smoke Unlike the half that brought you here won't ever disappear I see stars but no sky it's all pressure from pears But no particular fear just a bad habit I can't lose it Sorrowful wishes, can't be different No wonder I'll always be a disinterest So ignorant, don't care for the stars Won't ever care to be strong just always desired to be gone  [Chorus] Another chance won't ever fix us Won't take us back cause I never cleaned up Drinking myself to death in front of you, always meant so much Never gave you luck but I, couldn't get you out my mind Addictions and pleasure I couldn't hide I take it all back all those fake lies I gave you to push you away from mineEmbed"
Closure,1 ContributorClosure Lyrics[Intro] E-e-ethereal  [Verse] Been living life like a movie for the Past six years and I'm so tired Just let me know if it was worth the ride Infinity signs don’t belong to Some of these bedrins Some of these lowlifes actors In practice for the roles on the TV Yet no vision coming through the CD Got too many demos in the drive come meet me Dotting ideas down for you in the night Just wake and bake in the morning no ties Cause I just saw some bеanie outside She looks tight and caramеl just called inside For a quick 3.5 and little bit of Hold it nice for the camera don’t dash it The ash is blowing on her jeans she hacks it Nevertheless she’s the one for no one What do you hoes know about fairness Fuck it let’s hear this you still move unserious Got myself a loaded model With the magazine cover covered in delirious I call my Snow White queen when I’m coming down like it’s mysterious Wish I never came like the cat With the curious sense for the issues intact You might also like[Chorus] This loud got me feeling really toxic Is it bad that I love what this is This crowd got me in an outta conscious Even though you’re not my girl you’re just a constant Losing sleep over nonsense problems Smoke a J with the Js on expense My whole character is a pretence Living off an idea built from the regret This loud got me feeling really toxic Is it bad that I love what this is This crowd got me in an outta conscious Even though you’re not my girl you’re just a constant Losing sleep over nonsense problems Smoke a J with the Js on expense My whole character is a pretence Living off an idea built from the regret  [Outro] At this point if the audience dead I don’t care if they don’t fuck With the vibes that I’m billingEmbed
​dear lonechild,"1 Contributor​dear lonechild Lyrics[Verse 1] I could never fucking hope for a better life after this You can see me fall apart from the start of all my sins Going back into my rings, circles and the night calling Girl pick up your phones just ringing but your Cold inside not breathing You took your ghost and left me just fucking grieving Where did you go Leilah?, fuck the shots I never stop dreaming, oh Going back into my rings, circles and the night calling Girl pick up your phones just ringing but your Cold inside not breathing  [Bridge] Ooh-oh-oh, oh No no no no no No no no no ohh No no no no ohh No no no no ooh  [Verse 2] My dear lonechild head in the clouds always after a while I stopped watching you cry but now I'm watching you fly High up into the sky, I wanted you from the first night First time I gave my heart from the frost of the bite The things that we do then lie I cannot ever ask why You felt like you had to- Felt you like you had to lose the fight You might also like[Outro] You took your ghost and left me just fucking grieving Where did you go? (ah) Where did you go? Where did you go? Where did you go?Embed"
Delusional,"1 ContributorDelusional Lyrics[Verse 1] 12 02 and she’s really reminiscing Reminiscent of a tired hoe Switch my phone off, can’t hear the tone The girl wants flowers and a knife cause I know The game she’s on is the chase I’m on Delusional lovers don’t wanna hear this song cause (what a shame) After a buss n tissue you’re back to thinking What the fuck, where I go wrong? But it’s too late, you already texted ""I’m here"" on tape Laid out, she wants to fuck on camera Girl got me turning up from the shower Wearing playboy on a playboy No flex cause it’s the madness she’s on Stripped up naked for the play, I'm gone Rolling skunk for the LV bong Rolling skunk for the LV  [Chorus] Got sex sounds playing out the vinyl store Red lights she’s looking at me while I’m backing it Hand tight feeling this shit I ain’t sure Cause it’s too late but still I’m locking this door like Got sex sounds playing out the vinyl store Red lights she’s looking at me while I’m backing it Hand tight feeling this shit I ain’t sure Cause it’s too late but still I’m locking this door like You might also like[Verse 2] Swear it’s a mission these days to keep things live When you’re pre fame living Getting good from the game on this girl With the tats on the view From the back it’s loose but oh well Her boyfriend passed the barber shop that I work in Now guess I’m now in a proper lane That’s why when they ask for the name I tell em it’s Cash I’m hopping off TFL train White ash raining down from greatness No patience in my self I can’t take it Unlike this bitch standing with the purple fake sketcher Could be Fordans from the shop that sells bags and jamas Promoting shop like it’s based in the Bahamas they do it like that Brings the cats on crack sell it to failures In the east side we entertain jokers (oh yeah, oh yeah, oh yeah, ay oh yeah)  [Chorus] Got sex sounds playing out the vinyl store Red lights she’s looking at me while I’m backing it Hand tight feeling this shit I ain’t sure Cause it’s too late but still I’m locking this door like Got sex sounds playing out the vinyl store Red lights she’s looking at me while I’m backing it Hand tight feeling this shit I ain’t sure Cause it’s too late but still I’m locking this door like [Outro] Jo-jo-jo-jokersEmbed"
Desires No Desires,"1 ContributorDesires No Desires Lyrics[Verse 1] Rumours killing like a tumour Lost my baby catch no aurora Soft kisses fading to polar Cold feelings but she needs me closer This is no 016, 17 stars under I warned her Drinking smoking I'll stop it for you If the love can stop lustful blues  [Chorus] Desires no desires get the party turnt Popping E's and no beliefs, I never learn Ocean dreams I fuck her till the night leaves But some other girls are for the streets Desires no desires get the party turnt Popping E's and no beliefs, I never lеarn Ocean dreams I fuck her till thе night leaves But some other girls are for the streets  [Post-Chorus] 404 triple 6 on the dash I'm going Lost in London, lights are blaring People staring, bout to fall in please don't save me My life in a nutshell has all just been hell All just been failed, no one understands me Everyone around she, ain’t ever been well You wouldn't get me, me wouldn't get she Wouldn't set free, I wouldn't let go Go let he, Satan , go let me breathe Claustrophobic, me moving epileptic Tell me go take some medicine Go check yourself bitch You might also like[Verse 2] They tell me to get some sleep, it’s probably been 2 weeks Scared of the bitches that cannot even fucking read My thoughts when I'm thinking of the times where I Couldn't breathe, trapped inside a dream yeah Didn't think the voices deep, I bled out inside my mind Police come round my line to section me or my head? Just wanna go rest, eternal stress don’t wanna fucking get Intoxicated, though bitch got my eyes red And now i be feeling every heartbeat straight to my death Towards the left, never in bed Always up at night when the world is on Always up at night when the world is on Always up at night when the world is on meds  [Chorus] Desires no desires get the party turnt Popping E's and no beliefs, I never learn Ocean dreams I fuck her till the night leaves But some other girls are for the streets Desires no desires get the party turnt Popping E's and no beliefs, I never learn Ocean dreams I fuck her till the night leaves But some other girls are for the streets Desires no desires get the party turnt Popping E's and no beliefs, I never learn Ocean dreams I fuck her till the night leaves But some other girls are for the streets Desires no desires get the party turnt Popping E's and no beliefs, I never learn Ocean dreams I fuck her till the night leaves But some other girls are for the streets [Outro] Who the hoe wanna start shit up when you Girls start beefing in the group chat? I beg you leave that shit behind Cause the next week you gonna have a relapse Imma tell you that you ain’t fine staying in the gc But you wanna stick to the drama so imma leave you with KikiEmbed"
​don’t you leave me behind,"1 Contributor​don’t you leave me behind Lyrics[Intro] Is that all I ever meant to you, love me then leave me Still see your cute eyes passing at me at the tube  [Verse 1] Will I ever see tomorrow I have no clue Hold me closer even though I'm still losing you Sometimes I feel like losing myself too Drowning myself always out of of the blue Never acted a saint before I met you baby Almost bled out today cause you couldn't save me (no, no)  [Chorus] Don't you leave me all behind Pull me in closer away from the skies Seeking wishes for the afterlife I need you here cause I don't wanna cry So please don't leave me behind  [Pre-Verse] (oh-no-no-yeah-ooh, life's a lie)  [Verse 2] Fuck those dreams we built hours passing by Hope just left me to be The after hours calling me B2B don't do shots just drink the whole brewery Fuck your sorry sorrows I wish Tomorrow is my lotto Cancel on me here drinking Hennessey Nocturnal bitches on me My dear death wish it came to be, fucking on me I knew that you didn't want me Now but somewhere in my head I'm still missing you You might also like[Pre-Chorus] I'm still missing you But drinking too much Seeing my own death too many times  [Chorus] Don't you leave me all behind Pull me in closer away from the skies Seeking wishes for the afterlife I need you here cause I don't wanna cry So please don't leave me behind  [Outro] (ooh-ahh, leave me beh-)Embed"
